ESS,TP_loss,TP_valid_windows,TP_valid_windows_max,TP_valid_windows_min,action_error_order1_max,action_error_order1_mean,action_norm,actor_frozen,actor_grad_norm,actor_log_std_max,actor_log_std_mean,actor_log_std_min,actor_update_skipped,advantages_mean,advantages_std,anchor_loss,any_landed,approx_kl,capture_progress_reward,catch_reward,close_reward,cmd_norm,collision,collision_drone,collision_floor,collision_penalty,collision_wall,coop_reward,critic_grad_norm,curriculum_capture_step_ema,curriculum_eval_max_pursuer_collisions_count,curriculum_eval_promote_eligible,curriculum_eval_promote_pass,curriculum_eval_promote_streak,curriculum_eval_promoted,curriculum_eval_success_threshold,curriculum_pursuer_speed,curriculum_stage,curriculum_stage_after_eval,curriculum_success_ema,curriculum_target_speed,d_i_mean,d_i_min,distance_threshold_L,effective_actor_log_std_stage_frames,effective_actor_log_std_target,effective_actor_lr,effective_critic_lr,effective_entropy_coef,effective_expert_kl_coef,effective_expert_kl_stage_frames,entropy,expert_action_mse,expert_kl_loss,explained_var,first_capture_step,frame,goal_penalty,goal_progress_reward,goal_reached,kl_penalty,landed_penalty,n_agents_ahead_mean,out_of_arena,phi_block,phi_pressure,phi_spread,phi_team,policy_loss,pursuer_collisions_count,return,smoothness_coef,smoothness_max,smoothness_mean,smoothness_reward,speed_reward,spread_reward,success,success_ema_for_entropy,sum_detect_step,target_predicted_error,terminal_reward,time_penalty,urgent_block_rate,value_loss,value_running_mean
1.0,0.00010641643893904984,60407.0,59.0,55.0,,,0.3742656409740448,1.0,0.0,-3.9947571754455566,-3.9947571754455566,-3.9947571754455566,1.0,-2.5567708015441895,4.443179607391357,0.0,,0.0,,,,0.3742656409740448,,,,,,,0.9795522093772888,,1.0,0.0,0.0,0.0,0.0,0.8,,,2.0,,,,,,65536.0,-3.99475712,5.147456e-05,0.0005,0.01,0.399696896,65536.0,-10.303275108337402,0.0,0.0,0.5497848391532898,,65536.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0052682459354400635,-33.46736526489258
1.0,0.00026227132184430957,60364.0,59.0,54.0,,,0.398747980594635,1.0,0.0,-3.9895143508911133,-3.9895143508911133,-3.9895143508911133,1.0,-2.485363006591797,4.61033821105957,0.0,,0.0,,,,0.398747980594635,,,,,,,0.07399741560220718,,,,,,,,,,,,,,,,131072.0,-3.98951424,5.2949120000000006e-05,0.0005,0.01,0.399393792,131072.0,-10.282302856445312,0.0,0.0,0.9132983088493347,,131072.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0004976312629878521,-33.1809196472168
1.0,0.0001221335114678368,59448.0,59.0,54.0,,,0.7032448649406433,1.0,0.0,-3.984271287918091,-3.984271287918091,-3.984271287918091,1.0,-7.590814113616943,10.128009796142578,0.0,,0.0,,,,0.7032448649406433,,,,,,,0.12727245688438416,,,,,,,,,,,,,,,,196608.0,-3.98427136,5.4423680000000004e-05,0.0005,0.01,0.399090688,196608.0,-10.261330604553223,0.0,0.0,0.8762961030006409,,196608.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0036140396259725094,-33.04513168334961
1.0,0.00023369464906863868,60390.0,59.0,54.0,,,0.5178503394126892,1.0,0.0,-3.9790284633636475,-3.9790284633636475,-3.9790284633636475,1.0,-4.001945495605469,8.182272911071777,0.0,,0.0,,,,0.5178503394126892,,,,,,,0.09946610033512115,,,,,,,,,,,,,,,,262144.0,-3.97902848,5.589824e-05,0.0005,0.01,0.39878758400000003,262144.0,-10.240360260009766,0.0,0.0,0.9750010967254639,,262144.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0015826609451323748,-33.03953552246094
1.0,0.0003361921408213675,60218.0,59.0,54.0,,,0.5441282391548157,1.0,0.0,-3.973785638809204,-3.973785638809204,-3.973785638809204,1.0,2.0671017169952393,12.944668769836426,0.0,,0.0,,,,0.5441282391548157,,,,,,,0.11560200154781342,,,,,,,,,,,,,,,,327680.0,-3.9737856,5.73728e-05,0.0005,0.01,0.39848448000000003,327680.0,-10.219389915466309,0.0,0.0,0.8968014121055603,,327680.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.004415413364768028,-33.04355239868164
1.0,0.00040851757512427866,60063.0,59.0,54.0,,,0.5419849157333374,1.0,0.0,-3.9685428142547607,-3.9685428142547607,-3.9685428142547607,1.0,-14.90553092956543,12.820700645446777,0.0,,0.0,,,,0.5419849157333374,,,,,,,0.24557942152023315,,,,,,,,,,,,,,,,393216.0,-3.96854272,5.884736e-05,0.0005,0.01,0.39818137600000003,393216.0,-10.198417663574219,0.0,0.0,0.6483970880508423,,393216.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.007908396422863007,-33.05992126464844
1.0,0.00040648612775839865,58323.0,59.0,54.0,0.27049168944358826,0.04960603639483452,0.526094913482666,1.0,0.0,-3.9632997512817383,-3.9632997512817383,-3.9632997512817383,1.0,-15.893725395202637,16.681493759155273,0.0,0.012229538522660732,0.0,-0.03310419246554375,0.1206190213561058,-0.03310419246554375,0.526094913482666,0.21208174526691437,0.04253437742590904,0.15318235754966736,-0.3542783558368683,0.007669220678508282,0.0018747429130598903,0.3860582709312439,67.35939025878906,,,,,,,1.0,2.0,,0.99529629945755,1.0,0.07268138229846954,-0.003218582132831216,0.0,458752.0,-3.96329984,6.0321920000000004e-05,0.0005,0.01,0.39787827200000003,458752.0,-10.177444458007812,0.0,0.0,0.7991245985031128,950.3367919921875,458752.0,-0.04558911174535751,-0.015601360239088535,0.7657572627067566,0.0,-0.0003407958138268441,2.8254170417785645,0.0,0.2135625183582306,0.18115992844104767,0.16088570654392242,0.12909679114818573,0.0,21.678268432617188,-153.0666961669922,0.0,0.20290683209896088,0.009781167842447758,0.0,-0.005651435349136591,0.032177139073610306,0.2220131754875183,0.0,0.0,0.07515575736761093,0.0750299021601677,-0.000592819123994559,0.0,0.01257614977657795,-33.176570892333984
1.0,0.0003050018276553601,59171.0,59.0,54.0,,,0.6176310181617737,1.0,0.0,-3.958056926727295,-3.958056926727295,-3.958056926727295,1.0,-11.377398490905762,14.053531646728516,0.0,,0.0,,,,0.6176310181617737,,,,,,,0.18000014126300812,,,,,,,,,,,,,,,,524288.0,-3.95805696,6.179648000000001e-05,0.0005,0.01,0.39757516800000003,524288.0,-10.156472206115723,0.0,0.0,0.9050809144973755,,524288.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.2220131754875183,,,,,,0.007371065206825733,-33.298561096191406
1.0,0.00021690725407097489,59898.0,59.0,54.0,,,0.573833167552948,1.0,0.0,-3.9528141021728516,-3.9528141021728516,-3.9528141021728516,1.0,-19.564449310302734,13.380309104919434,0.0,,0.0,,,,0.573833167552948,,,,,,,0.38170644640922546,,,,,,,,,,,,,,,,589824.0,-3.95281408,6.327104e-05,0.0005,0.01,0.39727206400000004,589824.0,-10.135501861572266,0.0,0.0,0.8592082858085632,,589824.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.2220131754875183,,,,,,0.011601192876696587,-33.58900451660156
1.0,0.0002221190370619297,59852.0,59.0,54.0,,,0.524547278881073,1.0,0.0,-3.947571277618408,-3.947571277618408,-3.947571277618408,1.0,-15.312074661254883,12.904648780822754,0.0,,0.0,,,,0.524547278881073,,,,,,,0.3187187612056732,,,,,,,,,,,,,,,,655360.0,-3.9475712,6.47456e-05,0.0005,0.01,0.39696896000000004,655360.0,-10.114531517028809,0.0,0.0,0.9093726277351379,,655360.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.2220131754875183,,,,,,0.0073277633637189865,-33.99103546142578
