epoch,train_loss,val_loss,val_ade_m,val_fde_m,val_h1_err_m,val_h2_err_m,val_h3_err_m,val_h4_err_m,val_h5_err_m
1,0.07906787957197499,0.012884809323101775,0.3400178281538634,0.3310874094691482,0.3349004329023066,0.3499806531362694,0.34948583653761256,0.3346348463417548,0.3310874344067741
2,0.009897862544593801,0.008130760546832394,0.19061357924363934,0.19006209484895975,0.1852818057895165,0.19530339734389635,0.19167296593913224,0.19074763293069927,0.1900620663186251
3,0.007249548308607878,0.006710435114851043,0.13672542483029296,0.13760115013818183,0.13320602418920627,0.13689124736198804,0.13345253980606392,0.1424761529345773,0.1376011598596292
4,0.006274598301616406,0.006034174019295008,0.10781839540268393,0.10847898412944469,0.10587072085894882,0.10722161318434661,0.1056303661036888,0.11189029516735254,0.10847899025818325
5,0.005777749580014302,0.005676031412733505,0.08909855372049495,0.09019750306120769,0.08794937635579532,0.08804704393339485,0.08843983098328811,0.09085902753011099,0.0901975160055262
6,0.005509848624637672,0.005478009120993998,0.07727779345612419,0.07894348854302576,0.07653783761792064,0.07586206346204119,0.07698287364333906,0.07806268805844051,0.0789434816217779
7,0.005355609557780155,0.005358977332211632,0.06837069536128307,0.06992322561547548,0.06790209502296521,0.06684579467567385,0.0685631669690606,0.06861916926861064,0.06992320928978399
8,0.005260153856369104,0.005283772929083701,0.06258621671645243,0.06368380008814292,0.06262572621071548,0.061134040276534636,0.06263246866846833,0.06285503740177247,0.06368379163471044
9,0.005196755890097999,0.005228122861413993,0.05698447106100275,0.05791897620218766,0.05734918832981598,0.055656101057282296,0.056817176628209544,0.05718090415858022,0.05791896320503521
10,0.005151904553420957,0.005189367448018934,0.053033911073765275,0.053707944932065106,0.053324367104358804,0.05178275519790067,0.052947580711479834,0.05340689627505787,0.05370795005695855
11,0.0051196187333911,0.005162451374368044,0.05089687319654471,0.051575900708751336,0.05125750286091207,0.0496404153278233,0.050768407545363416,0.051242131139274914,0.05157590646765222
12,0.00509566542044425,0.005140039439230885,0.04825603509945984,0.048783429668325926,0.04886094122492049,0.047119141893014874,0.04799815009141069,0.04851850281892894,0.048783426630373626
13,0.005077542121912152,0.005125721984456244,0.04768120676229897,0.048069482637944735,0.048250481669820454,0.046869694625770196,0.04761134469034631,0.04760502152284488,0.04806948015474894
14,0.005063215299892745,0.005114996102243215,0.047612706564737185,0.04821071418736464,0.048013420371857976,0.04694019963409757,0.04717337235311532,0.047725841361344015,0.048210723486140375
15,0.0050522047909290525,0.005101991486585071,0.04544891721923317,0.04584699984265795,0.045784784481564644,0.04467373970547754,0.04538734466242969,0.045551719966482745,0.045847005126053254
16,0.005043059547941957,0.005095103846290403,0.0457662186304617,0.04591974318782341,0.0462213738372405,0.04525291817899701,0.04579347799153585,0.04564356143841119,0.045919745221930604
17,0.005035825160163305,0.005082891792708805,0.04236924302903582,0.042722717443975114,0.042749927827974786,0.04189359511688622,0.04200754738683167,0.042472425308987156,0.04272272130085369
18,0.005029399278294082,0.005078924246054348,0.043062243431138555,0.04338318206378016,0.04345274282369856,0.04262843171487657,0.04271366260259897,0.04313318955013997,0.043383181218436914
19,0.005024101557870543,0.005070834758624546,0.04071352426048561,0.04114513708045547,0.041054027253108916,0.040240830717322845,0.04034593731551229,0.04078168809068529,0.041145141729843335
20,0.005019649727676596,0.0050659953887705975,0.040065539284561524,0.04047630691744279,0.04033237124705469,0.03967225622951699,0.03965122070811253,0.04019554398879527,0.04047631629546946
