frame,success,return,role_reward,catch_reward,goal_penalty,goal_reached,collision,collision_wall,collision_drone,pursuer_collisions_count,target_predicted_error,terminal_reward,spread_reward,goal_progress_reward
524288,0.7451550364494324,18.17974853515625,0.020513838157057762,0.36571305990219116,-0.014386101625859737,0.2529069781303406,0.055807262659072876,0.0027957588899880648,0.017196159809827805,9.195735931396484,0.10437106341123581,0.35132700204849243,0.07150670886039734,-0.015386523678898811
1310720,0.014912281185388565,-79.90126037597656,-0.023724928498268127,0.007937094196677208,-0.03791818767786026,0.7587719559669495,0.31439733505249023,0.006481518968939781,0.04001297056674957,40.52719497680664,0.3517937958240509,-0.030916767194867134,0.014313396997749805,-0.013612843118607998
1835008,0.6043956279754639,2.0919532775878906,0.014054042287170887,0.3053740859031677,-0.014558468945324421,0.29120880365371704,0.1565176248550415,0.005521926563233137,0.013576347380876541,12.342229843139648,0.18027710914611816,0.29038652777671814,0.05852331593632698,-0.014447007328271866
2686976,0.05383211746811867,-64.54644012451172,-0.022898979485034943,0.025692829862236977,-0.044490061700344086,0.8950729966163635,0.24168072640895844,0.002906725276261568,0.039472732692956924,29.632299423217773,0.24453645944595337,-0.01879722811281681,0.019490007311105728,-0.015527582727372646
3473408,0.4560716450214386,-16.830429077148438,0.0040854522958397865,0.22751440107822418,-0.01927020773291588,0.3547845482826233,0.20296239852905273,0.007872146554291248,0.015003141015768051,18.29266929626465,0.15250995755195618,0.2074010670185089,0.04737760126590729,-0.013972409069538116
4259840,0.056179776787757874,-55.87679672241211,-0.022044196724891663,0.02630913071334362,-0.04641413688659668,0.8772687911987305,0.2368924766778946,0.00570715544745326,0.03695349022746086,23.64217758178711,0.18251800537109375,-0.02010500431060791,0.019713478162884712,-0.01584828644990921
4980736,0.007751937955617905,-69.84052276611328,-0.028952188789844513,0.00394038250669837,-0.035743895918130875,0.7025193572044373,0.4076712727546692,0.011527172289788723,0.025366399437189102,31.46705436706543,0.17392472922801971,-0.033005062490701675,0.01331769023090601,-0.013603465631604195
5439488,0.8046647310256958,28.617738723754883,0.02841109409928322,0.39634445309638977,-0.010851876810193062,0.19339163601398468,0.04487881809473038,0.006326650734990835,0.008651668205857277,4.639455795288086,0.08216726779937744,0.38549256324768066,0.0752641037106514,-0.015022020787000656
6225920,0.01603849232196808,-65.15084838867188,-0.026934515684843063,0.00796877034008503,-0.040642399340867996,0.7866880297660828,0.2806602418422699,0.029969472438097,0.029856421053409576,27.95509147644043,0.15928292274475098,-0.033363282680511475,0.015477202832698822,-0.01445781160145998
6750208,0.5753323435783386,-0.8354642391204834,0.010911703109741211,0.2803861200809479,-0.015406249091029167,0.2865583300590515,0.1621531993150711,0.016596594825387,0.009681438095867634,12.727474212646484,0.09253422170877457,0.26426103711128235,0.055571336299180984,-0.014624916948378086
