frame,effective_expert_kl_coef,expert_kl_loss,expert_action_mse,approx_kl,entropy,actor_grad_norm,effective_actor_lr,effective_critic_lr,TP_loss
2162688,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,3.05455359921325e-05,0.0005000000237487257,0.0063902102410793304
2228224,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,3.1168128771241754e-05,0.0005000000237487257,0.0033129206858575344
2293760,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,3.179072155035101e-05,0.0005000000237487257,0.0009654239984229207
2359296,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,3.2413310691481456e-05,0.0005000000237487257,0.00044392357813194394
2424832,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,3.303590347059071e-05,0.0005000000237487257,0.0007867181557230651
2490368,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,3.3658496249699965e-05,0.0005000000237487257,0.004788894206285477
2555904,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,3.428108902880922e-05,0.0005000000237487257,0.003917369991540909
2621440,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,3.4903681807918474e-05,0.0005000000237487257,0.0019318106351420283
2686976,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,3.552627094904892e-05,0.0005000000237487257,0.0018846371676772833
2752512,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,3.6148863728158176e-05,0.0005000000237487257,0.0010443227365612984
2818048,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,3.677145650726743e-05,0.0005000000237487257,0.0005569445202127099
2883584,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,3.7394049286376685e-05,0.0005000000237487257,0.001014892477542162
2949120,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,3.801663842750713e-05,0.0005000000237487257,0.0031639861408621073
3014656,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,3.863923120661639e-05,0.0005000000237487257,0.001285548903979361
3080192,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,3.926182398572564e-05,0.0005000000237487257,0.0007851484697312117
3145728,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,3.9884416764834896e-05,0.0005000000237487257,0.0009649068815633655
3211264,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,4.050700954394415e-05,0.0005000000237487257,0.0004222385468892753
3276800,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,4.11295986850746e-05,0.0005000000237487257,0.0012050975346937776
3342336,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,4.175219146418385e-05,0.0005000000237487257,0.0030375905334949493
3407872,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,4.2374784243293107e-05,0.0005000000237487257,0.00041268719360232353
3473408,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,4.299737702240236e-05,0.0005000000237487257,0.00010753993410617113
3538944,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,4.3619969801511616e-05,0.0005000000237487257,0.00017966826271731406
3604480,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,4.424255894264206e-05,0.0005000000237487257,0.000480173242976889
3670016,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,4.486515172175132e-05,0.0005000000237487257,0.0009155245497822762
3735552,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,4.548774450086057e-05,0.0005000000237487257,0.001034411950968206
3801088,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,4.6110337279969826e-05,0.0005000000237487257,0.0031718905083835125
3866624,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,4.6732926421100274e-05,0.0005000000237487257,0.0019358249846845865
3932160,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,4.735551920020953e-05,0.0005000000237487257,0.0005251605180092156
3997696,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,4.797811197931878e-05,0.0005000000237487257,0.00030232290737330914
4063232,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,4.860070475842804e-05,0.0005000000237487257,0.00042514686356298625
4128768,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,4.922329753753729e-05,0.0005000000237487257,0.003850865876302123
4194304,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,4.984588667866774e-05,0.0005000000237487257,0.003739870386198163
4259840,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,5.0468479457776994e-05,0.0005000000237487257,0.0014027594588696957
4325376,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,5.109107223688625e-05,0.0005000000237487257,0.0013002800988033414
4390912,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,5.17136650159955e-05,0.0005000000237487257,0.0007601007237099111
4456448,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,5.233625779510476e-05,0.0005000000237487257,0.0003242521488573402
4521984,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,5.2958846936235204e-05,0.0005000000237487257,0.0008229545783251524
4587520,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,5.358143971534446e-05,0.0005000000237487257,0.0025781963486224413
4653056,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,5.420403249445371e-05,0.0005000000237487257,0.0008565685129724443
4718592,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,5.482662527356297e-05,0.0005000000237487257,0.0006151917623355985
4784128,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,5.5449214414693415e-05,0.0005000000237487257,0.0007034341106191278
4849664,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,5.607180719380267e-05,0.0005000000237487257,0.0002807342680171132
