frame,drone/policy_loss,drone/expert_kl_loss,drone/expert_action_mse,drone/effective_expert_kl_coef,drone/value_loss,drone/critic_grad_norm,drone/actor_grad_norm,drone/TP_loss,train/stats.return,eval/stats.return,train/stats.success,eval/stats.success
65536,0.0,0.0,0.0,0.4000000059604645,0.48163560032844543,1.025827169418335,0.0,0.00013067637337371707,,22.23955535888672,,0.869140625
131072,0.0,0.0,0.0,0.4000000059604645,0.348436176776886,0.6854883432388306,0.0,0.0002306431415490806,,,,
196608,0.0,0.0,0.0,0.4000000059604645,1.432385802268982,0.5749983787536621,0.0,0.0001078943969332613,,,,
262144,0.0,0.0,0.0,0.4000000059604645,0.19898636639118195,1.2250527143478394,0.0,0.00035283120814710855,,,,
327680,0.0,0.0,0.0,0.4000000059604645,0.34371018409729004,1.0024383068084717,0.0,0.0017421793891116977,,,,
393216,0.0,0.0,0.0,0.4000000059604645,0.149772509932518,1.395626425743103,0.0,0.0032199365086853504,,,,
458752,0.0,0.0,0.0,0.4000000059604645,0.106887087225914,0.42597898840904236,0.0,0.003054500324651599,,,,
524288,0.0,0.0,0.0,0.4000000059604645,0.13298633694648743,0.3785519599914551,0.0,0.009004333056509495,18.17974853515625,,0.7451550364494324,
589824,0.0,0.0,0.0,0.4000000059604645,0.11220389604568481,0.4055465757846832,0.0,0.00510558532550931,,,,
655360,0.0,0.0,0.0,0.4000000059604645,0.08161964267492294,0.7081633806228638,0.0,0.0023154960945248604,,,,
720896,0.0,0.0,0.0,0.4000000059604645,0.12877598404884338,0.7206871509552002,0.0,0.001100103254429996,,,,
786432,0.0,0.0,0.0,0.4000000059604645,0.13395030796527863,0.3182820975780487,0.0,0.002353208139538765,,,,
851968,0.0,0.0,0.0,0.4000000059604645,0.11666163802146912,0.49191153049468994,0.0,0.009757056832313538,,,,
917504,0.0,0.0,0.0,0.4000000059604645,0.11005422472953796,0.550471305847168,0.0,0.007140185683965683,,,,
983040,0.0,0.0,0.0,0.4000000059604645,0.11402347683906555,0.4221092462539673,0.0,0.0037530481349676847,,,,
1048576,0.0,0.0,0.0,0.4000000059604645,0.0977213978767395,0.6278899908065796,0.0,0.0032322958577424288,,,,
1114112,0.0,0.0,0.0,0.4000000059604645,0.09773840010166168,0.33637651801109314,0.0,0.0020142800640314817,,,,
1179648,0.0,0.0,0.0,0.4000000059604645,0.10770027339458466,0.3658360540866852,0.0,0.0011620094301179051,,,,
1245184,0.0,0.0,0.0,0.4000000059604645,0.08470923453569412,0.5801977515220642,0.0,0.0022051921114325523,,,,
1310720,0.0,0.0,0.0,0.4000000059604645,0.07744891941547394,0.8360812664031982,0.0,0.004483256489038467,-79.90126037597656,,0.014912281185388565,
1376256,0.0,0.0,0.0,0.4000000059604645,0.10935278236865997,0.5131182074546814,0.0,0.001681079505942762,,,,
1441792,0.0,0.0,0.0,0.4000000059604645,0.15073861181735992,0.36942073702812195,0.0,0.0013591338647529483,,,,
1507328,0.0,0.0,0.0,0.4000000059604645,0.15802888572216034,0.8524056077003479,0.0,0.0022090724669396877,,,,
1572864,0.0,0.0,0.0,0.4000000059604645,0.12601259350776672,0.33388155698776245,0.0,0.0009762847912497818,,,,
1638400,0.0,0.0,0.0,0.4000000059604645,0.08710145205259323,0.2662099599838257,0.0,0.001778692938387394,,,,
1703936,0.0,0.0,0.0,0.4000000059604645,0.0795227512717247,0.4925067722797394,0.0,0.00351866171695292,,18.18585968017578,,0.826171875
1769472,0.0,0.0,0.0,0.4000000059604645,0.021872106939554214,0.7813656330108643,0.0,0.000543056579772383,,,,
1835008,0.0,0.0,0.0,0.4000000059604645,1.3655133247375488,0.4195859134197235,0.0,0.0002604304172564298,2.0919532775878906,,0.6043956279754639,
1900544,0.0,0.0,0.0,0.4000000059604645,0.18106861412525177,0.3087483048439026,0.0,0.0002702828496694565,,,,
1966080,0.0,0.0,0.0,0.4000000059604645,0.41362184286117554,0.7060580253601074,0.0,0.000526858086232096,,,,
2031616,0.0,0.0,0.0,0.4000000059604645,0.18173491954803467,0.4046435058116913,0.0,0.0014649913646280766,,,,
2097152,0.0,0.0,0.0,0.4000000059604645,0.14021602272987366,0.18737660348415375,0.0,0.0020338569302111864,,,,
2162688,0.0,0.0,0.0,0.4000000059604645,0.15512239933013916,0.2119421660900116,0.0,0.0063902102410793304,,,,
2228224,0.0,0.0,0.0,0.4000000059604645,0.15833622217178345,0.5187288522720337,0.0,0.0033129206858575344,,,,
2293760,0.0,0.0,0.0,0.4000000059604645,0.09438040852546692,0.37626293301582336,0.0,0.0009654239984229207,,,,
2359296,0.0,0.0,0.0,0.4000000059604645,0.1846560835838318,1.0262330770492554,0.0,0.00044392357813194394,,,,
2424832,0.0,0.0,0.0,0.4000000059604645,0.1422058343887329,0.29168567061424255,0.0,0.0007867181557230651,,,,
2490368,0.0,0.0,0.0,0.4000000059604645,0.143320694565773,0.291959285736084,0.0,0.004788894206285477,,,,
2555904,0.0,0.0,0.0,0.4000000059604645,0.16907423734664917,0.38614368438720703,0.0,0.003917369991540909,,,,
2621440,0.0,0.0,0.0,0.4000000059604645,0.16889642179012299,0.5034268498420715,0.0,0.0019318106351420283,,,,
2686976,0.0,0.0,0.0,0.4000000059604645,0.1389136016368866,0.296207070350647,0.0,0.0018846371676772833,-64.54644012451172,,0.05383211746811867,
2752512,0.0,0.0,0.0,0.4000000059604645,0.14513199031352997,0.2621859610080719,0.0,0.0010443227365612984,,,,
2818048,0.0,0.0,0.0,0.4000000059604645,0.13714079558849335,0.32929834723472595,0.0,0.0005569445202127099,,,,
2883584,0.0,0.0,0.0,0.4000000059604645,0.08464214205741882,0.22095760703086853,0.0,0.001014892477542162,,,,
2949120,0.0,0.0,0.0,0.4000000059604645,0.06870941072702408,0.2851993143558502,0.0,0.0031639861408621073,,,,
3014656,0.0,0.0,0.0,0.4000000059604645,0.13794413208961487,0.4403538107872009,0.0,0.001285548903979361,,,,
3080192,0.0,0.0,0.0,0.4000000059604645,0.14955279231071472,0.281758576631546,0.0,0.0007851484697312117,,,,
3145728,0.0,0.0,0.0,0.4000000059604645,0.11040756106376648,0.23911814391613007,0.0,0.0009649068815633655,,,,
3211264,0.0,0.0,0.0,0.4000000059604645,0.08299091458320618,0.19809263944625854,0.0,0.0004222385468892753,,,,
3276800,0.0,0.0,0.0,0.4000000059604645,0.0979497879743576,0.6416074633598328,0.0,0.0012050975346937776,,,,
3342336,0.0,0.0,0.0,0.4000000059604645,0.07832092046737671,0.3210545778274536,0.0,0.0030375905334949493,,21.165809631347656,,0.84375
3407872,0.0,0.0,0.0,0.4000000059604645,0.032261691987514496,0.772192120552063,0.0,0.00041268719360232353,,,,
3473408,0.0,0.0,0.0,0.4000000059604645,1.4234017133712769,0.39688584208488464,0.0,0.00010753993410617113,-16.830429077148438,,0.4560716450214386,
3538944,0.0,0.0,0.0,0.4000000059604645,0.16826310753822327,0.20355124771595,0.0,0.00017966826271731406,,,,
3604480,0.0,0.0,0.0,0.4000000059604645,0.43446940183639526,0.30827221274375916,0.0,0.000480173242976889,,,,
3670016,0.0,0.0,0.0,0.4000000059604645,0.1980404555797577,0.3664451539516449,0.0,0.0009155245497822762,,,,
3735552,0.0,0.0,0.0,0.4000000059604645,0.1174495741724968,0.25498032569885254,0.0,0.001034411950968206,,,,
3801088,0.0,0.0,0.0,0.4000000059604645,0.17299184203147888,0.5118292570114136,0.0,0.0031718905083835125,,,,
3866624,0.0,0.0,0.0,0.4000000059604645,0.16130861639976501,0.8258828520774841,0.0,0.0019358249846845865,,,,
3932160,0.0,0.0,0.0,0.4000000059604645,0.11575285345315933,0.36021533608436584,0.0,0.0005251605180092156,,,,
3997696,0.0,0.0,0.0,0.4000000059604645,0.17065250873565674,0.43855422735214233,0.0,0.00030232290737330914,,,,
4063232,0.0,0.0,0.0,0.4000000059604645,0.1695006638765335,0.2841165363788605,0.0,0.00042514686356298625,,,,
4128768,0.0,0.0,0.0,0.4000000059604645,0.10737285763025284,0.24891366064548492,0.0,0.003850865876302123,,,,
4194304,0.0,0.0,0.0,0.4000000059604645,0.13491517305374146,0.5356497764587402,0.0,0.003739870386198163,,,,
4259840,0.0,0.0,0.0,0.4000000059604645,0.12337498366832733,0.31474950909614563,0.0,0.0014027594588696957,-55.87679672241211,,0.056179776787757874,
4325376,0.0,0.0,0.0,0.4000000059604645,0.10235525667667389,0.28931689262390137,0.0,0.0013002800988033414,,,,
4390912,0.0,0.0,0.0,0.4000000059604645,0.12574732303619385,0.28527167439460754,0.0,0.0007601007237099111,,,,
4456448,0.0,0.0,0.0,0.4000000059604645,0.14491082727909088,0.26257848739624023,0.0,0.0003242521488573402,,,,
4521984,0.0,0.0,0.0,0.4000000059604645,0.10489951819181442,0.1998671293258667,0.0,0.0008229545783251524,,,,
4587520,0.0,0.0,0.0,0.4000000059604645,0.09828958660364151,0.30929967761039734,0.0,0.0025781963486224413,,,,
4653056,0.0,0.0,0.0,0.4000000059604645,0.1154777854681015,0.3907650113105774,0.0,0.0008565685129724443,,,,
4718592,0.0,0.0,0.0,0.4000000059604645,0.10507363080978394,0.2588377296924591,0.0,0.0006151917623355985,,,,
4784128,0.0,0.0,0.0,0.4000000059604645,0.10916255414485931,0.3035494387149811,0.0,0.0007034341106191278,,,,
4849664,0.0,0.0,0.0,0.4000000059604645,0.12643222510814667,0.43210849165916443,0.0,0.0002807342680171132,,,,
4915200,0.0,0.0,0.0,0.4000000059604645,0.12933135032653809,0.2980232238769531,0.0,0.0008519220864400268,,,,
4980736,0.0,0.0,0.0,0.4000000059604645,0.10544262081384659,0.31772154569625854,0.0,0.002063190098851919,-69.84052276611328,23.851940155029297,0.007751937955617905,0.861328125
5046272,0.41753339767456055,0.7625887393951416,0.034316495060920715,0.4000000059604645,0.03319773077964783,0.6100209355354309,0.1701953113079071,0.00036097707925364375,,,,
5111808,0.3323432207107544,0.40522313117980957,0.018235040828585625,0.4000000059604645,1.7330361604690552,0.24042044579982758,0.2345217615365982,0.00010213431960437447,,,,
5177344,0.21352851390838623,0.33349862694740295,0.015007440000772476,0.4000000059604645,0.22053374350070953,0.22222061455249786,0.20489884912967682,0.00016100279754027724,,,,
5242880,0.22517293691635132,0.2883791923522949,0.012977064587175846,0.4000000059604645,0.35713207721710205,0.4721399247646332,0.28184974193573,0.00048049172619357705,,,,
5308416,0.16121160984039307,0.25771790742874146,0.011597306467592716,0.4000000059604645,0.20696088671684265,0.25168487429618835,0.28866106271743774,0.0007720322464592755,,,,
5373952,0.029976867139339447,0.19728951156139374,0.008878028020262718,0.4000000059604645,0.136940598487854,0.2714919149875641,57.35847091674805,0.00087345129577443,,,,
5439488,0.0203687883913517,0.17458005249500275,0.007856102660298347,0.4000000059604645,0.1516585350036621,0.23581069707870483,61.074161529541016,0.0024546533823013306,28.617738723754883,,0.8046647310256958,
5505024,0.08209645748138428,0.18680723011493683,0.008406326174736023,0.4000000059604645,0.2134871780872345,1.1071094274520874,47.74452209472656,0.0013433092972263694,,,,
5570560,0.03541211411356926,0.6311067342758179,0.02839980460703373,0.4000000059604645,0.10470518469810486,0.25062257051467896,58.87405014038086,0.00035273414687253535,,,,
